Timestamp,Vz(m/s),Voltage(V),Current(A),Power(W),TargetVz(m/s)
2026-06-18 16:39:13,1.966,12.587,29.82,375.344,2.0
2026-06-18 16:39:13,1.967,12.587,29.82,375.344,2.0
2026-06-18 16:39:13,1.967,12.587,29.82,375.344,2.0
2026-06-18 16:39:14,1.967,12.587,29.82,375.344,2.0
2026-06-18 16:39:14,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:14,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:14,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:14,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:14,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:14,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:14,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:14,1.967,12.587,29.82,375.344,2.0
2026-06-18 16:39:14,1.967,12.587,29.82,375.344,2.0
2026-06-18 16:39:15,1.967,12.587,29.82,375.344,2.0
2026-06-18 16:39:15,1.968,12.587,29.74,374.337,2.0
2026-06-18 16:39:15,1.968,12.587,29.74,374.337,2.0
2026-06-18 16:39:15,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:15,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:15,1.967,12.587,29.74,374.337,2.0
2026-06-18 16:39:15,1.966,12.587,29.74,374.337,2.0
2026-06-18 16:39:15,1.966,12.587,29.74,374.337,2.0
2026-06-18 16:39:15,1.965,12.587,29.74,374.337,2.0
2026-06-18 16:39:15,1.965,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.965,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.964,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.964,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.962,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.962,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.962,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.961,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.961,12.587,29.74,374.337,2.0
2026-06-18 16:39:16,1.961,12.587,29.74,374.337,2.0
2026-06-18 16:39:17,1.961,12.587,29.74,374.337,2.0
2026-06-18 16:39:18,1.961,12.587,29.74,374.337,2.5
2026-06-18 16:39:18,1.962,12.587,29.74,374.337,2.5
2026-06-18 16:39:18,1.962,12.587,29.74,374.337,2.5
2026-06-18 16:39:19,2.039,12.587,31.9,401.525,2.5
2026-06-18 16:39:19,2.039,12.587,31.9,401.525,2.5
2026-06-18 16:39:19,2.039,12.587,31.9,401.525,2.5
2026-06-18 16:39:19,2.266,12.587,32.9,414.112,2.5
2026-06-18 16:39:19,2.266,12.587,32.9,414.112,2.5
2026-06-18 16:39:19,2.426,12.587,31.65,398.379,2.5
2026-06-18 16:39:19,2.426,12.587,31.65,398.379,2.5
2026-06-18 16:39:19,2.426,12.587,31.65,398.379,2.5
2026-06-18 16:39:19,2.498,12.587,30.99,390.071,2.5
2026-06-18 16:39:19,2.498,12.587,30.99,390.071,2.5
2026-06-18 16:39:20,2.516,12.587,30.41,382.771,2.5
2026-06-18 16:39:20,2.516,12.587,30.41,382.771,2.5
2026-06-18 16:39:20,2.516,12.587,30.41,382.771,2.5
2026-06-18 16:39:20,2.51,12.587,30.24,380.631,2.5
2026-06-18 16:39:20,2.51,12.587,30.24,380.631,2.5
2026-06-18 16:39:20,2.494,12.587,30.16,379.624,2.5
2026-06-18 16:39:20,2.494,12.587,30.16,379.624,2.5
2026-06-18 16:39:20,2.494,12.587,30.16,379.624,2.5
2026-06-18 16:39:20,2.479,12.587,30.16,379.624,2.5
2026-06-18 16:39:20,2.479,12.587,30.16,379.624,2.5
2026-06-18 16:39:21,2.467,12.587,30.16,379.624,2.5
2026-06-18 16:39:21,2.467,12.587,30.16,379.624,2.5
2026-06-18 16:39:21,2.467,12.587,30.16,379.624,2.5
2026-06-18 16:39:21,2.46,12.587,30.24,380.631,2.5
2026-06-18 16:39:21,2.46,12.587,30.24,380.631,2.5
2026-06-18 16:39:21,2.456,12.587,30.32,381.638,2.5
2026-06-18 16:39:21,2.456,12.587,30.32,381.638,2.5
2026-06-18 16:39:21,2.456,12.587,30.32,381.638,2.5
2026-06-18 16:39:21,2.454,12.587,30.32,381.638,2.5
2026-06-18 16:39:21,2.454,12.587,30.32,381.638,2.5
2026-06-18 16:39:22,2.454,12.587,30.32,381.638,2.5
2026-06-18 16:39:22,2.454,12.587,30.32,381.638,2.5
2026-06-18 16:39:22,2.453,12.587,30.24,380.631,2.5
2026-06-18 16:39:22,2.453,12.587,30.24,380.631,2.5
2026-06-18 16:39:22,2.453,12.587,30.24,380.631,2.5
2026-06-18 16:39:22,2.452,12.587,30.32,381.638,2.5
2026-06-18 16:39:22,2.452,12.587,30.32,381.638,2.5
2026-06-18 16:39:22,2.45,12.587,30.32,381.638,2.5
2026-06-18 16:39:22,2.45,12.587,30.32,381.638,2.5
2026-06-18 16:39:22,2.45,12.587,30.32,381.638,2.5
2026-06-18 16:39:23,2.449,12.587,30.32,381.638,2.5
2026-06-18 16:39:23,2.449,12.587,30.32,381.638,2.5
2026-06-18 16:39:23,2.448,12.587,30.24,380.631,2.5
2026-06-18 16:39:23,2.448,12.587,30.24,380.631,2.5
2026-06-18 16:39:23,2.448,12.587,30.24,380.631,2.5
2026-06-18 16:39:23,2.447,12.587,30.32,381.638,2.5
2026-06-18 16:39:23,2.447,12.587,30.32,381.638,2.5
2026-06-18 16:39:23,2.448,12.587,30.24,380.631,2.5
2026-06-18 16:39:23,2.448,12.587,30.24,380.631,2.5
2026-06-18 16:39:24,2.448,12.587,30.24,380.631,2.5
2026-06-18 16:39:24,2.447,12.587,30.24,380.631,2.5
2026-06-18 16:39:24,2.447,12.587,30.24,380.631,2.5
2026-06-18 16:39:24,2.448,12.587,30.32,381.638,2.5
2026-06-18 16:39:24,2.448,12.587,30.32,381.638,2.5
2026-06-18 16:39:24,2.448,12.587,30.32,381.638,2.5
2026-06-18 16:39:24,2.448,12.587,30.24,380.631,2.5
2026-06-18 16:39:24,2.448,12.587,30.24,380.631,2.5
2026-06-18 16:39:24,2.449,12.587,30.32,381.638,2.5
2026-06-18 16:39:24,2.449,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.449,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.45,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.45,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.45,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.45,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.45,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.452,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.452,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.454,12.587,30.32,381.638,2.5
2026-06-18 16:39:25,2.454,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.454,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.458,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.458,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.46,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.46,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.46,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.463,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.463,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.464,12.587,30.32,381.638,2.5
2026-06-18 16:39:26,2.464,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.464,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.465,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.465,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.466,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.466,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.466,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.465,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.465,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.463,12.587,30.32,381.638,2.5
2026-06-18 16:39:27,2.463,12.587,30.32,381.638,2.5
2026-06-18 16:39:28,2.463,12.587,30.32,381.638,2.5
2026-06-18 16:39:28,2.462,12.587,30.24,380.631,2.5
